short_window,long_window,final_equity,cagr,max_drawdown,sharpe_ratio,trade_count
25,30,4.236214609611525,0.09103665591019916,-0.29151409275963436,0.6767791158951244,158
25,40,3.5143905104501,0.07880540292826321,-0.27368474820239164,0.5799358938622396,94
25,50,3.225825218618928,0.0732415207788435,-0.29950176565985576,0.5376255112346409,82
25,60,2.597526252569626,0.059301289635826926,-0.3508290323117066,0.44945281983497226,68
25,70,2.426085386903354,0.05494503503748116,-0.44599000769934116,0.41592097648388743,68
25,80,3.3950101774254544,0.07655765703803219,-0.33017447907154884,0.5397789567545971,61
25,90,4.129001213954215,0.08935002357901412,-0.31105702764830934,0.6121210328173763,47
25,100,4.847824504485715,0.09995290604112195,-0.3451132593462797,0.6708998880182745,35
25,110,4.916729219342215,0.10089021790835018,-0.31543794230236977,0.6768990337227038,31
25,120,4.789422968727432,0.0991486151733203,-0.2987672036623936,0.6650443157865593,33
25,130,5.529282052664392,0.10871904261462095,-0.2958196395453103,0.7160578063673464,31
25,140,6.32007111962853,0.11769969349535891,-0.3127496184382742,0.7656318833583385,31
25,150,8.121335166062341,0.13474372340126384,-0.28559369035445814,0.8524754919370855,25
25,160,8.549000895184657,0.13826376034413923,-0.291654741474175,0.8689922321818903,25
25,170,8.893938625554155,0.1409843331135141,-0.28559369035445836,0.8807617820423242,25
25,180,8.450601985915506,0.13746875717249596,-0.28559369035445836,0.858158279298551,25
25,190,8.637856665657447,0.13897430725394155,-0.28559369035445825,0.8658513798631958,23
25,200,7.535751542156837,0.12963021115498163,-0.2855936903544585,0.814758315598335,23
30,40,3.180139867711076,0.07231803202154152,-0.33851453622717487,0.5391325008001621,102
30,50,2.6768885244653284,0.06122707491433421,-0.39504344515169665,0.4635067420684209,84
30,60,3.0514253470568455,0.06964751264235969,-0.37417781068733225,0.5040647112892361,68
30,70,4.128886796902139,0.08934820173936231,-0.29941139396856364,0.612188776511829,61
30,80,3.392206167705378,0.07650397418193888,-0.3414755755882033,0.5358213197841376,55
30,90,3.611692632273901,0.08058499634778471,-0.36114540649146487,0.5597859357817199,39
30,100,4.955949648370104,0.10141823630840796,-0.30961517926585,0.6744310740432473,33
30,110,4.597219167400484,0.0964349673854521,-0.30642913500590596,0.6490711640417988,31
30,120,5.601060736422645,0.10958242825548004,-0.28559369035445814,0.7178011228975478,31
30,130,7.483516125114649,0.1291560952710542,-0.28559369035445825,0.8243412304196781,29
30,140,7.9013406978572425,0.13286456561326943,-0.28559369035445825,0.8405930214513307,27
30,150,7.856765292129123,0.13247782694335908,-0.28559369035445825,0.8338805978791636,25
30,160,7.582454730436774,0.13005150606924576,-0.2855936903544585,0.8180082945308054,25
30,170,8.332309436177058,0.13650143013189941,-0.28559369035445825,0.8491722104889056,25
30,180,7.924080635246809,0.1330610695425889,-0.28559369035445814,0.8277224214799702,21
30,190,7.7143845054108535,0.13122856310812114,-0.28559369035445825,0.8168415664660807,21
30,200,8.041169791446407,0.13406456541939682,-0.28559369035445836,0.8313947402695452,21
35,40,3.898690876070859,0.08558317020791728,-0.3484132336448794,0.6167857015043008,126
35,50,3.6898647629038956,0.08198237444168965,-0.36055676148038307,0.5887224593404123,86
35,60,3.4542863088826534,0.07768285823290166,-0.3560909017251901,0.5483615496932501,70
35,70,4.069832316769518,0.08840149908605621,-0.3459268359857417,0.608267449342437,61
35,80,4.02668605426717,0.08770162526385272,-0.3162756611133327,0.6012864728490241,51
35,90,4.492392794391638,0.0949096985495177,-0.2884496504637649,0.6421064775983792,37
35,100,5.206511114009468,0.10470163420288747,-0.28559369035445814,0.6877797102978539,35
35,110,6.068179934508469,0.11495953072684828,-0.28559369035445825,0.745405491775357,33
35,120,6.244245679809375,0.11688579622344131,-0.28559369035445825,0.7533525281866156,31
35,130,7.854544535336776,0.13245850566253736,-0.28559369035445825,0.8388176263581048,27
35,140,7.402139542582934,0.12841124700931483,-0.2855936903544579,0.8130154625067009,23
35,150,8.006262436651731,0.13376684121518911,-0.28559369035445836,0.8366738190075319,21
35,160,8.92028427277903,0.14118802890323168,-0.28559369035445836,0.8736011677554533,23
35,170,6.596088001561288,0.12058688197599143,-0.28559369035445825,0.7579960055506981,23
35,180,6.613250846556646,0.12076263764189643,-0.28559369035445825,0.7551004023243361,21
35,190,6.966941302406869,0.12429230332532426,-0.28559369035445836,0.7733884660364521,21
35,200,7.612319185045616,0.13031962776678485,-0.2855936903544586,0.799034181743655,19
40,50,3.363676620332911,0.07595539210480018,-0.36954206849793203,0.5406919151351827,96
40,60,3.9027825073822497,0.08565189573060494,-0.29573555130790163,0.5975899231761312,76
40,70,3.589139904496646,0.08017656794797468,-0.30338482334817163,0.5594322747898888,59
40,80,4.049423585103597,0.08807132327675538,-0.3078773723304372,0.6025084385013795,45
40,90,5.37526191748039,0.10683030555045447,-0.28559369035445836,0.7010540538597315,33
40,100,6.031155912789158,0.11454779019722072,-0.2898513260458171,0.7438892190552283,33
40,110,6.51835621820158,0.11978545249325978,-0.28559369035445814,0.7722105813537117,31
40,120,7.284948413922436,0.12732495186342985,-0.28559369035445836,0.8158346154735162,29
40,130,8.700492014269324,0.1394710637719585,-0.28559369035445825,0.8832361265760025,23
40,140,8.66349303535326,0.13917803534971385,-0.28559369035445814,0.8773490219587641,21
40,150,9.69459325503811,0.1469354713949964,-0.28559369035445803,0.9094931358040156,19
40,160,7.534250435303359,0.12961662948139208,-0.28559369035445836,0.8084716999532332,21
40,170,7.091502376609121,0.12549536879270873,-0.28559369035445814,0.7816886803833775,21
40,180,7.414092413708899,0.1285211335281018,-0.28559369035445836,0.7923689890481297,21
40,190,7.743112123157215,0.13148235709560496,-0.28559369035445825,0.8054987170762187,23
40,200,8.164526510603759,0.13510703193962348,-0.28559369035445836,0.8210473246495634,19
45,50,4.058531532416716,0.08821886588793326,-0.33068064426776356,0.6129461904332585,126
45,60,3.158621762825236,0.07187873606671169,-0.36851499785846753,0.5160744572799476,75
45,70,3.1587678394140677,0.07188172771489953,-0.33364588085580327,0.51337721989569,59
45,80,5.243372606296878,0.10517209345508327,-0.2855936903544585,0.693442794026935,41
45,90,6.138344353242107,0.11573338782725973,-0.28559369035445825,0.74725833146988,37
45,100,6.814173796256746,0.12278890373570905,-0.28559369035445836,0.785330836314548,33
45,110,5.968342817753038,0.11384378825830077,-0.2855936903544585,0.7375558693498226,31
45,120,7.056064388262223,0.12515512706292098,-0.28559369035445825,0.7992763787597906,27
45,130,8.89247153827265,0.14097297342377013,-0.28559369035445825,0.8821495140372613,23
45,140,9.27582415686304,0.14388301108941648,-0.2855936903544585,0.8979897061131,21
45,150,7.453859793209528,0.1288855331837,-0.28559369035445814,0.8094482196050796,21
45,160,8.119423758895486,0.13472760348068946,-0.28559369035445825,0.8331274667089991,19
45,170,7.832245033599702,0.1322642079350922,-0.28559369035445814,0.8176327803847638,21
45,180,7.832241641652406,0.13226417834120574,-0.28559369035445814,0.8007438818396201,21
45,190,8.51404069238325,0.13798229261421624,-0.28559369035445836,0.8240143173623565,19
45,200,8.869854185102287,0.14079762354564407,-0.28559369035445814,0.8379905073053369,19
50,60,3.888199650519716,0.0854066430587368,-0.32084577446986395,0.5934553048220222,93
50,70,4.5213508881899305,0.09533436707338883,-0.3346126360310526,0.6413534982622097,65
50,80,5.209216514447498,0.10473626919209034,-0.28559369035445803,0.6858576475417725,47
50,90,5.801011022812078,0.11193381150646498,-0.28559369035445814,0.724679060392504,37
50,100,6.806378836754951,0.1227113462726499,-0.2855936903544585,0.7796142880834893,33
50,110,5.335934331660827,0.1063398864538514,-0.28559369035445836,0.6949721426429749,31
50,120,6.902706633022972,0.12366397546741181,-0.2855936903544585,0.7851022951018176,27
50,130,8.805767001142986,0.14029847100532278,-0.28559369035445836,0.8771415498521273,23
50,140,7.284594746085222,0.1273216487809632,-0.28559369035445836,0.8012465583981958,21
50,150,7.105483859980629,0.12562916631027443,-0.28559369035445836,0.7890583787313671,21
50,160,7.49183790324363,0.1292318359037261,-0.28559369035445836,0.8032867013360566,21
50,170,7.562058493213728,0.12986781872360553,-0.28559369035445825,0.7912300358840944,23
50,180,8.74138953818841,0.13979360893961834,-0.28559369035445803,0.8350660311512232,23
50,190,9.73601006190501,0.14723059716959108,-0.28559369035445836,0.8704945101457869,21
50,200,9.574912144951861,0.14607594715700967,-0.28559369035445825,0.862287820595508,17
